issue_title,body
Problem setting up hub for Github Enterprise using SSH,"I am unable to figure out how to git `hub` working with GHE over SSH. I see that others have had similar issues, notably [this one](https://github.com/github/hub/issues/1612), but none of the articles I've read have had solutions that have worked for me. Of course, I didn't read all of them, so let me know if there is an answer already posted that I missed.

Here's my relevant info:
- Windows 10, Fall Creator's Update
- git version 2.17.1.windows.2
- hub version 2.2.9
- `git` is not aliased to `hub` yet (since it's not fully working yet)

I have set the following environment variables. I have tried this both in cmd.exe and in Powershell with similar results, so I will explicitly list both here in case it helps. I'm not sure where I got the idea that I needed both `GITHUB_HOST` and `HUB_HOST` - need to look at the docs again, as I have a feeling that `HUB_HOST` is not needed _as an environment variable_.

For cmd:
- GITHUB_HOST=github.ourserver.net
- HUB_HOST=github.ourserver.net
- HUB_PROTOCOL=ssh
- HUB_CONFIG=~/.config/hub

Similarly, for Powershell:
- $env:GITHUB_HOST=""github.ourserver.net""
- $env:HUB_HOST=""github.ourserver.net""
- $env:HUB_PROTOCOL=""ssh""
- $env:HUB_CONFIG=""~/.config/hub""

I created a personal access token and then created a new file named ~/.config/hub with these contents:
> ourserver.net
> \- user: cleonard
> \- oauth_token: \<my token\>
> \- protocol: https

So here is the problem. Whenever I try to run any command that requires `hub`, I am prompted for a username (on our server, so `hub` at least recognizes which server to talk to!). The username I type is not visible on the screen, and when I hit enter, I am shown a prompt for a password, but immediately shown an error message. I'm attaching a screenshot for you to see exactly what I mean.
![image](https://user-images.githubusercontent.com/1082694/41805948-2fb3b200-7678-11e8-8c0c-37796fae65c0.png)

The way I authenticate to our GHE with normal `git` commands is via SSH using RSA keys. That's how I'd like to use `hub` as well. Is this possible?

Finally, partway through writing up this issue, I tried running `hub alias`, which told me `Error: couldn't detect shell type. Please specify your shell with ""hub alias <shell""`. So I guessed and tried `hub alias powershell` and got what might be a very useful error message stating that Powershell is not a supported shell but a number of \*nix shells are supported. Is this true? I don't want to delete everything I typed up, in case you *do* support Powershell! But if I need to use bash, will that work in WSL?

Thanks for reading all of this, and for any reply. Looks like a nice tool (my goal is simply to create pull requests from a CLI :) ).

**UPDATE:** my original post had my actual `oauth_token` in it so I have deleted that one and generated a new one. 
"
Provide a way to ignore hub's aliases,"I have my own ""git sync"" alias which does the right thing in my environment. Unfortunately hub recently introduced a ""hub sync"" command which does things I don't want (deletes branches, doesn't pull). Additionally, as noted in a below comment, it may even result in data-loss.  I can't seem to find a way to make use of hub as a proper around git without having its sync get in the way. One option is to introduce yet another wrapper that dispatches to either ""git"" or ""hub"" depending on the command provided, though this would require more intimate knowledge of git's command line parsing.

The best way I forward I could think of is to do one of the following:

(a) ensure that git aliases override hub's commands.
(b) provide a way to bypass hub's commands per-command.

Obviously I'm open to other solution that solve my problem."
`hub pull-request` fails with an obscure error if the branch hasn't been pushed,"Per #1715 the error message received when the branch hasn't been pushed does not make it clear what the problem is. It seems the error message comes from [line 356](https://github.com/github/hub/blob/master/commands/pull_request.go#L356). I'm not familiar enough to know offhand if this error handling might be triggered by something other than a branch that hasn't been pushed, but changing it to 

`Invalid value for ""head"", did you push your branch to the remote?`

would be very helpful. I'm happy to change the error if that's all that's needed, but I'm not very comfortable in Go."
"pull-request: different ""origin"" and ""upstream"" remote repo names","Have an edge case here, I think, where the ""upstream"" remote repo has a different repo name from the ""origin"" repo.

I haven't found a way to make a pull request into the ""origin"" repo without removing the ""upstream"" remote. 

Is there a way of doing it? "
Publish a Snap,I think would be nice to have a Snap (https://snapcraft.io/store) with automatic update.
Feature request: Support checking/listing squash merged branches,"Support checking/listing branches that have been squash merged into a particular branch (e.g. master) by extending the `git branch --merged` command. The native `git branch --merged` command does not detect branches merged by this method, but many GH projects do squash merging to reduce the number of commits on the repository.

This feature would make it trivial to clean up local branches that have already been squash merged."
Aliasing git to hub breaks git autocompletion in zsh,"Using either of

`alias git = hub` or

eval ""$(hub alias -s)""

breaks auto completion for git in zsh.

Is there a way around this?
"
Fix base branch detection during `hub pull-request`,"Pull requests now use `default_branch` from the repository configuration (JSON) when no `.git/refs/remotes/origin/HEAD` is present. If the two differ, a warning is printed to the console and the local base branch is used.

This PR covers the following scenarios:

* There is no `.git/refs/remotes/origin/HEAD`, uses `default_branch` (from JSON)
* The branch in `.git/refs/remotes/origin/HEAD` differs from `default_branch`, uses `.git/refs/remotes/origin/HEAD` and prints a warning to the console (see below)

Example warning:

```console
$ hub pull-request
Warning: Local base branch differs from remote (got: developmen, want: development), to fix:
        git remote set-head origin --auto
```

I considered writing a test but the tests don't pass (even on `master`). Running macOS 10.13.3, Go 1.10, Git 2.16.2. The failing test output is available in [this gist](https://gist.github.com/mafredri/eaa34e30ac8022a348c19ab07edf4d95).

Running the tests also made changes to my personal git configuration (including alias modifications, not cool 😢). Lucky I've got it in version control so no harm done.

Fixes #1538."
`hub compare` doesn't handle range as documented,"The documentation for `hub compare` says

> If a range with two dots (""a..b"") is given,
> it will be transformed into one with three dots. If <START> is omitted,
> GitHub will compare against the base branch (the default is ""master"").
> If <END> is omitted, GitHub compare view is opened for the current branch.

This largely doesn't appear to be correct. The issues I see:

* `hub compare release..kballard/mybranch` does not transform into 3 dots, it leaves it as 2 dots, and the GitHub UI opens a comparison against `master` instead.
* `hub compare release...` does not default the end to the current branch but instead opens a comparison for `release` against an unspecified branch.
* `hub compare ...kballard/mybranch` doesn't work either, it opens a comparison where the base branch is unspecified.

About the only part of this description that is correct is if both <START> *and* <END> are omitted, it compares the base branch against the current one.

Tested with hub version 2.2.9."
Make remote URLs default to HTTPS,"Fixes #1596 and closes #1318 

This makes URLs default to using HTTPS instead of the plain git protocol (`git://`), especially for `hub clone` which will not use SSH even for private repos/repos where you have push access to unless it is overridden by setting `hub.protocol` to `ssh`.

I think I got all the tests related to this change. Let me know if I missed out anything!"
Edit existing issues,"Hi all,

Is it possible to edit existing issues in a repo?

I checked the manpage and `hub issue --help`, but there is no information about editing a existing issue. 

I know there are other tools https://github.com/node-gh/gh, https://github.com/stephencelis/ghi, which can do this.

Perhaps these could be merged into `hub`, instead of replicating their work.."
request: post-pull-request hook,"I'd love to have a hook that fires after the successful creation of a pull request. My use case: setting a per-branch config variable `prbranch=<the triggering pr's base branch>`, which could be used to decorate my prompt to tell me ""a PR was opened for this branch, and it hasn't been merged"". 

I imagine this would be made possible by some of the same work as #1179 

(This would get stuck on closed-but-not-merged PRs, so even better would be a way for hub to query for PR info and store it somewhere. That's a much bigger request, and I don't know if it's in the hub scope)"
[Feature] implement --org for pull-request command,"Although there is a more verbose syntax available via the head flag, in a standard use case where you want to do operations on behalf of an organization, the workflow is not really clean:

What we observe:
- If i did the pull with --org flag, the remote will not coincide with the github user
- If I do a standard hub pull-request, **I do not get any helpful error message** (no check is implemented if the user name remote exists)

What we would like to observe:
- Better checks and error messages
- `--org` flag for the `pull-request` command, so that the behavior get's consistent and we avoide the more verbose syntax.

I would even suggest to implement the `--org` flag top level on `hub`, so all operations get properly name spaced, if this would not conflict with upstream git."
"If the pull request already exists, update the description, and open it in the browser if -o is given","Actually this is two loosely related issues, that come up together due to the way I use this awesome tool.

Repro:
  1. `git pull-request -b development -m ""OLD MSG""`  # Pull request is created
  2. `git pull-request -b development -o` # Invoke again

Expected:
 - the current PR description should be shown in the editor with the possibility to modify it and then update the description of the PR
  - the URL for the preexisting PR should be opened in the browser.

Actual:

```
Error creating pull request: Unprocessable Entity (HTTP 422)
A pull request already exists for xx:xx
```"
Can't interact with GitHub Enterprise installations over macOS VPN,"If your GitHub Enterprise instance is only accessible via VPN, you get this error on macOS:

```shell
$ GITHUB_HOST=github.my-company.com hub clone owner/repo
Get https://github.my-company.com/api/v3/repos/owner/repo: dial tcp: lookup github.my-company.com on 10.0.1.1:53: no such host
```

It looks like this is a problem with Go's DNS resolver. See https://github.com/hashicorp/terraform/issues/3536 and https://github.com/golang/go/issues/12524.

It looks like the fix is to build with `CGO_ENABLED=1` on Darwin. That causes the native DNS resolver to be used, which can correctly handle VPN.

Would you be willing to use CGO for Darwin?"
Editor textwidth setting overwritten by hub,"See [this line](https://github.com/github/hub/blob/cbcc349e39c359ea2bd1f3f0d2ad56463750a905/github/editor.go#L117) in the editor; `hub` manually sets the textwidth for a new editor (usually a commit message, pull-request, &c.).

```go
editCmd.WithArg(""set ft=gitcommit tw=0 wrap lbr"")
```

Why does this happen? I prefer a `tw=80` and have that setup in my `.vimrc`, but get overridden seemingly at will.

I could solve this probably by using `.vim/after/ftplugin/gitcommit.vim`, but I'd rather just not have `hub` assume too many settings for me. 

Proposed fix: `set ft=gitcommit` and leave it at that--trust users to have other settings for their editor.
Change to
```go
editCmd.WithArg(""set ft=gitcommit"")
```"
Split git and hub completion scripts,"Not everyone that installs `hub` wishes to use the `git` alias. Unfortunately, we can't install bash-completion for just `hub`, because the script that provides it also takes over the `git` completion.

Please provide separate completion scripts for both `git` and `hub` so that they can be installed independently."
hub clone should use HTTPS instead of SSH by default so the GCM can be used,"When interacting with a GitHub repo via HTTPS, the [Git Credential Manager for Windows](https://github.com/Microsoft/Git-Credential-Manager-for-Windows) is used by default (it is installed by default with Git for Windows). The GCM is great, because it supports GitHub 2FA, so you don't need to create a token or SSH key but can just log in with your username, password and 2FA token.

However, `hub clone` uses the SSH URL of the repo by default (instead of the HTTPS URL). This means that when a user installs hub and blindly does a `hub clone` on a repo, they won't be able to use the GCM (and thus will need to do extra configuration if they have 2FA set up).

This seems like an oversight. Therefore, I propose using HTTPS instead of SSH by default (at least on Windows)."
Issue creation doesn't provide `--project` flag for specifying the project,"This would be very useful for me to add many issues to a particular project from the command line, much in the same way as I do when I am creating an issue on my repo, before allocating to a column."
[Feature Request] Allow `merge` to delete branches locally and remotely,"On my current flow it'd be ideal if I had the option of deleting both remote and local branches when I merge a PR.

I could script it, but the way `hub` works when merging is using an URL which I don't have the branch name at hand."
Implement `pr show`,"`hub pr show` will display any existing pull requests that would have
been created by `hub pull-request`. For any pull requests it finds, it
prints out the link to the pull request.

If no pull requests are found, this will result in an error. That means
it can be used to check for any existing pull requests before attempting
to create one using `hub pull-request`.

Fixes #897. Replaces #1498. Some code was taken from #1498 as a starter
for this pull request."
"add retriever.sh, #987: cross-platform download script","Hello,

This is my attempt to provide a cross-platform download script for hub, it works like this:

```
$ sh ./retriever.sh 
hub-linux-amd64-2.2.9.tgz
hub-linux-amd64-2.2.9/
```

It should work on windows/macos/linux/freebsd but I only tested on Linux, Ubuntu 16.06

Bests"
Supported pull subpage to browse command,"Supported `pull` subpage to browse command.
I want to open Pull Request related to the current branch.

related #688"
Add support for sending client certificates,"Adds support for sending a client certificate to a GitHub Enterprise server.

The client certificate should be encoded with PKCS12 and its path should be set with the configuration option `client_certificate`.

@mislav Can I possibly get a sanity check on this one? I ended up pulling in the PKCS12 package simply because it seems like the most convenient way of encoding a certificate and key. We'd otherwise need to specify the paths to two different files, or stack PEMs into a single file, which I don't think is as widely supported. The nice part about this approach is that something like Mac OS's Keychain makes it quite easy to export a cert/key pair as a `*.p12`.

I'll warn you up front that there is a small possibility of having to add new miscellaneous improvements in the future to help support a more flexible version of this feature. For example, I've required that the PKCS12 file not be passphrase-protected for simplicity, but allowing a passphrase through hub might be desirable for someone else. Others might like to see support for extracting a certificate directly from the Mac OS Keychain (cURL built on Mac supports this) or support for other encodings. It's also possible that no one besides me will ever want or need this option.

Any thoughts? Thanks in advance!

Fixes https://github.com/github/hub/issues/1494."
Allow edits from maintainers,"I added the option `--restrict-maintainer-modfy` to `hub pull-request` command to off the checkbox of 'Allow edits from maintainers' in github\.com Web UI.
And also, restrict-maintainer-modfy can be configured at `~/.gitconfig` like a following code.

```
[hub]
  maintainerModify = false
```
Default value of  restrict-maintainer-modfy is `false` since github\.com Web UI is flase (means **Allow** edits from maintainers )

ref. #1349
"
Check modtime of message file after edits,"Fixes #1428.

This change would affect the behavior of the editor for issues, releases, and pull requests by setting the modified time of the message file 5 seconds back before it is edited, then verifying that the time-stamp changed.

Some existing tests had to be modified to reflect that the editor must at least `touch` the message file.

"
pull-request is not setting base correctly,"I have a repo that had (at one point) github configured to use a default branch _other than_ master. (It was an accident, but the old default was `FOUN-514-create-json-schema`)

GitHub has since been fixed, so the default is now `master` as it should be. (This was fixed a _long_ time ago.)

However, whenever hub begins a new PR, it defaults the base to that old default branch: `FOUN-514-create-json-schema`. I've checked the repo's git config, and all is as it should be (no straggling references to that old branch). I've checked in `~/.config/hub` but I don't see anything in there persisting the old default.

Does hub get this from the github api each time? Or is it persisted somewhere locally that I can flush?

It's worth noting that GitHub sets the base branch correctly when opening a PR via the UI (as confirmation that the default branch is set correctly).


PR message generated by hub:
```

# Requesting a pull to webanalytics:FOUN-514-create-json-schema from webanalytics:github-rename
#
# Write a message for this pull request. The first block
# of text is the title and the rest is the description.
```

```
$ git remote show origin 
* remote origin
  Fetch URL: git@github.shuttercorp.net:webanalytics/analytics-schema.git
  Push  URL: git@github.shuttercorp.net:webanalytics/analytics-schema.git
  HEAD branch: master
  Remote branches:
    github-rename     tracked
    master            tracked
    qa                tracked
    refactor-test     tracked
    refs/pull/1/head  tracked
    [snipped 'pull' refs]
  Local branches configured for 'git pull':
    github-rename merges with remote github-rename
    master        merges with remote master
  Local refs configured for 'git push':
    github-rename pushes to github-rename (up to date)
    master        pushes to master        (up to date)
```

```
$ hub --version 
git version 2.14.1
hub version 2.3.0-pre10
```

(The issue existed with hub 2.2.9, but I upgraded to the prerelease in hopes the new version fixed it.)"
New pr command is confusing,"Having both a `pull-request` and a `pr` command is super confusing. They both mean the same but do different things. I even created a git alias before from `pr` to `pull-request` which suddenly didn't work anymore. I doubt I'm the only one that did this. 

Why is `pr checkout` not a subcommand of `pull-request` instead? You could even let `pr` bare do the same as `pull-request` if you want to keep the shorter variant."
"Tab completion for branch name prints ""warning: ignoring broken ref""","Attempting to tab-complete the base branch name:

```bash
hub pull-request -o -b or<TAB>
```
results in:
```bash
hub pull-request -o -b orwarning: ignoring broken ref refs/remotes/origin/HEAD
```

```
$ bash --version
GNU bash, version 4.4.12(1)-release (x86_64-apple-darwin16.3.0)
[snip]
$ hub --version
git version 2.13.3
hub version 2.2.9
```"
Updating a pull request,"I would like to update the description of a pull request.

Is this already implemented or can I make a feature request of this?

See: https://developer.github.com/v3/pulls/#update-a-pull-request"
pull-request error:  not currently on any branch,"My problem: I could not use pull-request at all, I kept getting this error
```
$ git pull-request -b <user>:master -h DancingQuanta:extra-syntaxes
Aborted: not currently on any branch.
```
I am on Cygwin with Windows executable `hub`."
"put defaults for frequent reviewers, or other CLI parameters always used in a pull-request in a .rc file of some kind","I have several reviewers and labels that I would like to add by default to a pull request, it would be nice to have a .rc file of some kind that I could specify some defaults for pull-requests"
[WIP] Adding 'git pull-request —show' to list the URL(s) for existing PRs,"Adding a new switch to the `pull-request` command to show the URL, if the PR already exists (helps solve #897, #1107 and #1451)
This is a prerequisite for other features, such as #867

Keeping WIP because I want to add tests for this."
Support client certificates for GitHub Enterprise,"This is a bit of a special snowflake situation, but our GitHub Enterprise has been configured with an additional layer of security whereby a client certificate needs to be sent along with all requests to it. 

I've built support for this and am wondering if I could possibly send it upstream. Would you be open to a patch that allows `hub` to support this through either something like a configuration option or an environmental variable?

My proposed interface would be a little like [how client certificates are sent in cURL](https://gheeknet.wordpress.com/2011/07/22/how-to-use-curl-to-access-a-https-url-using-a-client-certificate/), probably requiring that a certificate and private key are stacked into a single PEM-encoded file (with [possible PKCS#12 support through `golang.org/x/crypto/pkcs12`](https://godoc.org/golang.org/x/crypto/pkcs12)). It might be better as environmental variable given how few people are going to ever need this (a little like configuring a proxy).

Any thoughts? Thanks!"
Complex git core.editor setting fails with hub,"I have my `core.editor` set to something complex (to get it to work cross machine):

```
[core]
    editor = ""which mvim > /dev/null 2>&1 && mvim --remote-tab-wait-silent $@ || vim""
```

When trying `hub create issue`, I get:

```
/Users/ehesselink/.local/bin/mvim
/Users/ehesselink/.local/bin/mvim
/usr/bin/vim
error using text editor for issue message
```

The setting works with plain git though. I see this was discussed before in #881, but that was marked as fixed.

```
$ hub version
git version 2.9.2
hub version 2.2.9
```"
Git checkout on existing branch no longer works,"Hey, this might be some regression in git (configuration change), but this used to work just fine when I tried to checkout a PR that was already fetched (when somebody force-push into it):

```
git checkout https://github.com/theforeman/foreman/pull/4260
From github.com:theforeman/foreman
 ! [rejected]        refs/pull/4260/head -> swapab-18381-pxe-loader-attr-hostgroup-form  (non-fast-forward)
```

I was trying to provide `--force` without any luck. What's wrong?"
Add a link to the workaround for SSO with GHE,"While a more permanent solution is being developed, link to the
workaround so that people can continue to use hub in their GHE
environments.

Related-Bug: #826
Related-Bug: #384"
"Remote specific protocol settings (configuration, feature request)","Would it be possible to have a default protocol specific to different commands?

The use case I have in mind is having ssh access to all of my personal repositories (which I tend to refer to as `origin`), but only https access to upstream repositories (which I tend to refer to as `upstream`). 

This acts as a safety measure, as I can easily push to `origin` over ssh, but need to go through additional steps to push to `upstream` repositories, for example when making a release and tagging that release through GitHub.

↬@Carreau for introducing this method to me. "
UX: quitting the editor without editing the default commit message template creates a pull request anyway,"I was creating a pull request for Ansible by running hub pull-request. It downloaded Ansible's PULL_REQUEST_TEMPLATE.md very helpfully and spawned Vim for me.  I remembered about issue #1377 and decide I didn't want `hub` to create a malformed PR for me, I'd rather create one by hand on the web.  So I quit vim with `:q!` without editing the blank message template.

`hub` created a pull request anyway."
if `hub clone` would clone into a repo that's already in the fork graph add a remote instead.,"say I did:

```shell
$ hub clone github/hub
Cloning into 'hub'...
remote: Counting objects: 159732, done.
remote: Compressing objects: 100% (28/28), done.
remote: Total 159732 (delta 15), reused 0 (delta 0), pack-reused 159704
Receiving objects: 100% (159732/159732), 67.91 MiB | 14.65 MiB/s, done.
Resolving deltas: 100% (119124/119124), done.
Checking connectivity... done.
$ hub clone github/hub
warn: destination path 'hub' already exists and origin is already github/hub.
$ echo $?
0
$ hub clone graingert/hub
destination path 'hub' already exists and new remote graingert/hub as graingert.
$ echo $?
0
```"
Add ability to view changes with pull-request,"I just discovered `hub` and like the idea of submitting pull requests via cli.  One thing I like about the web is that I can review the pull request changes at the same time I am submitting the request, which lets me make one last final review.

Is it possible to review the changes of a PR with `hub` before submitting the request, preferably with the editor used to generate the PR message?"
git create org/ to create within the org with the current directory's name,"It would be nice if `git create github/` created the repo in the GH org, but kept the behavior of using the current directory's name."
git clone ends ... contains zero-padded file modes,"[tom1@achse /data/tomsData/github]$ git clone https://github.com/github/hub.git 
Klone nach 'hub' ...
remote: Counting objects: 13716, done.
remote: Compressing objects: 100% (53/53), done.
error: object 9ef2af57366f63deb751b92a8ca630fe598b10f0: zeroPaddedFilemode: contains zero-padded file modes
fatal: Fehler in Objekt
fatal: index-pack fehlgeschlagen
[tom1@achse /data/tomsData/github]$ git --version
git version 2.11.1
[tom1@achse /data/tomsData/github]$ uname -a
Linux achse 4.9.8-1-ARCH #1 SMP PREEMPT Mon Feb 6 12:59:40 CET 2017 x86_64 GNU/Linux

no subdir hub was created 
"
"hub remote add sometimes set the url to ""git://""","Sometimes when I do a ""hub remote add"" to a project the remote is set to `git@github.com: . . .` instead of `git@github.com: . . .` aitized example:

	zippy1981@zippy1981-Inspiron-15-7568:~/src/corporate-project$ hub remote add other-user
	zippy1981@zippy1981-Inspiron-15-7568:~/src/corporate-project$ git fetch --all
	Fetching origin
	Fetching zippy1981
	Fetching other-user
	fatal: remote error: 
	  Repository not found.
	error: Could not fetch other-user
	zippy1981@zippy1981-Inspiron-15-7568:~/src/corporate-project$ hub remote -v
	other-user     git://github.com/other-user/corporate-project.git (fetch)
	other-user     git://github.com/other-user/corporate-project.git (push)
	origin  git@github.com:corporate-org/corporate-project.git (fetch)
	origin  git@github.com:corporate-org/corporate-project.git (push)
	zippy1981       git@github.com:zippy1981/corporate-project.git (fetch)
	zippy1981       git@github.com:zippy1981/corporate-project.git (push)
	zippy1981@zippy1981-Inspiron-15-7568:~/src/corporate-project$ 

Manually setting the remote. with the regular git remote add works. "
use https protocol instead of git protocol for public and keeping ssh for private,"From the manpage:

```
              If the repository is private or the current user has push access to the repository, hub
              will  use  the ssh protocol for cloning. Use -p to select the ssh protocol uncondition-
              ally. HTTPS protocol can be used instead by setting ""hub.protocol"" (see CONFIGURATION).
```

If the repository or private or the current user has push access to the repository, I want to use the SSH protocol. However, if the repository is not private or I do not have push access, I want to only then use the HTTPS protocol.

I want to use ssh when I have access because it means I don't have to ever type my password on my server, it can just use my ssh agent to authenticate. But if I dont need access, I'd rather use the HTTPS protocol so that I don't always have to authenticate but still want a secure protocol."
assign existing pull request,"What is the proper way to assign someone after a PR has been created?


```
$ hub pull-request -a 212556808
Waiting for Emacs...
Error creating pull request: Unprocessable Entity (HTTP 422)
A pull request already exists for hubs:fix/show-nonjson-error.
```"
hub sync crashes if branch disappears during iteration,"Running hub sync, I see
```
warning: `gssdp-0.14.15' seems to contain unpushed commits
```

Once hub sync completes, I kick it off again. Before it gets to `gssdp-0.14.15`, while it's listing other branches with unpushed commits, in another shell I delete `gssdp-0.14.15`:

```
$ git branch -D gssdp-0.14.15
Deleted branch gssdp-0.14.15 (was 265d3fc8da).
```

At that point, when `hub sync` reaches `gssdp-0.14.5` in its iteration, it crashes:
```
...
warning: `googler-2.5.1' seems to contain unpushed commits
warning: `gosu-1.13.5' seems to contain unpushed commits
warning: `gpac-0.6.1' seems to contain unpushed commits
warning: `gputils-1.4.2-1' seems to contain unpushed commits
exit status 128
```

So it may benefit from sort of locking or at least shouldn't assume the branch will still exist when it gets to it."
PULLREQ_EDITMSG sometimes shows incorrect head,"```
% hub --version
git version 2.10.2
hub version 2.2.9
```

Sometimes the PULLREQ_EDITMSG shows an incorrect head branch in the top comment line. I'm not sure if this is because the PULLREQ_EDITMSG was created incorrectly, or if the PULLREQ_EDITMSG isn't being cleaned after a previous PR is opened and it is just being re-used, but occasionally I see a different head branch from the one I specified (or a different one from the currently-checked-out branch if I'm not specifying a head branch). However, I can still proceed to open the PR, and it gets opened with the correct head branch. So this is more of a cosmetic issue that causes confusion, and not a matter of hub incorrectly opening the PR.

I'm sorry that I don't have more detailed information on how to reproduce, but I haven't yet noticed a pattern to what causes this. I'm hoping the fact that there are likely only a few places where PULLREQ_EDITMSG is handled, and the fact that hub still opens the PR using the correct head branch, are together enough to help narrow it down."
hub sync isn't very effective when squashing and merging commits,"I want to use `hub sync` to update local branches but more importantly delete branches that have been merged already via the Github UI. The problem is, when running `hub sync` I get many warnings like the following:
`warning: 'sean/branch_name' was deleted on origin, but appears not merged into master`.

I'm assuming this is because the PR opened for this branch was merged using the ""Squash and Merge"" option so the SHA no longer matches. Is there a way to force `hub sync` to still delete branches in this case?"
Allow edits from maintainers,Checkbox not enabled when creating PR from hub.
Add ability to specify remote per-command,"Adds a flag to all appropriate commands to specify the remote to which the
command should apply. If no remote is specified, the usual hierarchy of origin
naming is adhered to.

Fixes #1297"
Use upstream as the base branch for new pull requests,"This is spawned from vermiculus/magithub#58.

I'll probably be able to change the default behavior in my development, but I think it deserves to be considered as basic hub behavior as well. To my understanding, upstream is a more appropriate default across GitHub workflows. (At the very least, I can't think of any counter-arguments.)"
Switch default remote URL to https,"Github doesn't seem to honor `git://` anymore.
"
Windows Installation: adding Hub html guide to Git help,"I've succesfully installed Hub under Windows 10 x64 (and Win 7, previously), but Windows setup requires a few more tweaks.

In order to access Hub's guide, the file `hub.html` should be copied inside the docs subfolder of Git's installation folder. Which usually is:

C:\Program Files\Git\mingw64\share\doc\git-doc\

But I also had to rename `hub.html` to `github.html` — I guess because of the aliasing of ""hub"" with ""git"".

So, now when I type `git help github` I get to see Hub's documentation (in HTML, via the browser, which is how Git on Windows shows help).

I've tried to preserve the filename `hub.html`, but then `git help hub` wouldn't show anything — by which I deduced the aliasing problem, and the renaming to `github.html` solution.

It would be nice to include this extra info in the Windows binary distribution of Hub. Or the `install.bat` could handle copying the html file — though, most users would think of  `git help hub` as the correct way to access help, instead of `git help github` .
"
no output for `hub` commands in linux subsystem for windows,"For some reason I'm not seeing any output from `hub` commands when using the Linux SubSystem for Windows 10 (Bash on Ubuntu on Windows).

For instance, running `hub status` in a git repository doesn't print anything, whereas `/usr/bin/git status` shows the normal status info.

Is anyone else seeing this? Any guidelines for troubleshooting? I can't figure out what could be going wrong.
"
sync sub-command won't remove merged branches,"In the following sequence `hub sync` won't remove local branches, that were merged/removed on Github:

``` bash
$ hub clone
$ hub fork
$ git checkout -b new-branch
$ # (make & commit changes)
$ git push gmile new-branch
$ hub pull-request
$ # (enter PR description)
$ # (merge the branch on github)
$ # (remove the branch on github)
$ hub sync
```

After `hub sync` local branch `new-branch` is not removed. Only master is updated. Full output:

```
$ hub sync
remote: Counting objects: 26, done.
remote: Compressing objects: 100% (25/25), done.
remote: Total 26 (delta 1), reused 0 (delta 0), pack-reused 0
Updated branch master (was 4f2c4c9).
$
```

`hub --version` returns this:

```
$ hub --version
git version 2.10.0
hub version 2.3.0-pre8
$
```
"
Support per-repo GitHub account configuration,"I've just started using `hub`.
As a first step I wanted to open the github webpage with `git browse`. `hub` insists that I have to enter my account which I do not see why I have to do this right now.

My motivation might seem a little bit odd:  
I configure for each repository I am actually working on explicitly my name and email address. I do not like to have an enforced global setting. git-2.8 (March 2016) has added an option `useConfigOnly` which means if it is not set globally or locally it does not guess anymore and insists that the user has to configure it before committing. However, I only do this if I actually I want to do something in the repository. Simply opening the github webpage does not mean this necessarily.
"
Support multi-level remotes,"In my setup, my company has an internal GitHub Enterprise server and we contribute patches to an external github.com repository. So I have a setup that looks like this (names I'll be using in `[]`):

```
github.com/project/repo [upstream]
           | |
            V
github.company.com/team/repo-fork [origin]
           | |
            V
github.company.com/user/repo-fork-fork [user]
```

I have branches where I sometimes need to be able to interact with that sometimes go to `origin` and sometimes go to `upstream`. As far as I can tell, it's not possible to create an issue (or any other features like `pull-request`, etc.) in `origin` and then create an issue in `upstream` without doing a bunch of remote renaming.

I'd love to see an command line option to specify the remote name for all the major commands. Off the top of my head, `issue` and `pull-request` would be priorities, but all commands that interact with a remote repository would be great.
"
Very little visibility into hub-augmented commands,"A lot of hub's functionality lies in the additional behavior it layers onto pre-existing git commands, but for a new user it's very difficult to discover that behavior. The README only mentions `hub clone` in passing, and `hub help clone` doesn't give any additional details, since it displays only the base git documentation. `hub help` adds to `git help`'s output, but it only lists new hub commands like `pull-request` and `fork`. The only hints that there's any more functionality are the SEE ALSO links at the bottom of the man pages for the new commands.

I suggest adding some text like ""Hub also extends normal git commands. See 'hub help hub' for details."" at the bottom of the `hub help` text, to give users a more direct path to see the full functionality.
"
Use Markdown filetype in vim for PR messages,"Use markdown for pull request messages, with modifications to highlight
comments as comments, the first line up to the 50th character as green,
and the second line as red, all pulled from the `gitcommit` filetype
that ships with Vim.

Fixes #1276
"
Support for no_proxy environment variable,"It looks like https://github.com/github/hub/blob/master/github/http.go#L171-L193 is reimplementing the proxy logic from net/http/transport.go but it's missing the sections that support setting no_proxy. 
"
Add md extensions to PULLREQ_EDITMSG and ISSUE_EDITMSG,"This would allow editors to infer the file format correctly.
"
`hub clone -p` does not override hub.protocol option,"If `~/.gitconfig` contains:

```
[hub]
    protocol = https
```

Then passing `git config -p USER/REPO` would be expected to override this for this particular command and use the SSH protocol unconditionally. From the manpage:

```
       git clone [-p] OPTIONS [USER/]REPOSITORY DIRECTORY
              Clone  repository  ""git://github.com/USER/REPOSITORY.git""  into  DIRECTORY  as  with  git-clone(1). When USER/ is omitted,
              assumes your GitHub login.

              If the repository is private or the current user has push access to the repository, hub will  use  the  ssh  protocol  for
              cloning.  Use  -p to select the ssh protocol unconditionally. HTTPS protocol can be used instead by setting ""hub.protocol""
              (see CONFIGURATION).
```

This is with hub version 2.2.5.
"
